,xp,numberOfQuests,address,proportion,amount
63,5870,59,0x40a4729c5bd3cee706156ed3c0a5c2e123745bd6,0.002770651858389954,55.41303716779908
64,5750,37,0xF847173D93d1FFf6EDCc941f8a8ED542730078eF,0.0027140116159697163,54.28023231939433
65,5740,49,0x8832D07a813A17df7275E6B402efD514125605C7,0.00270929159576803,54.1858319153606
66,5670,53,0x592e0C3f6c48858EbA3421B0C7aba368a5F8F960,0.0026762514543562247,53.525029087124494
67,5620,55,0x133351314363261c8dec8C625ad7549281d770d2,0.0026526513533477922,53.05302706695584
68,5570,51,0x31e3849AD7d74Fda8D52f3BB915C8EacD7bCb0d6,0.00262905125233936,52.581025046787204
69,5550,31,0xBAEAFCc05024818f4F74C3457e81e9C3163bFa46,0.002619611211935987,52.39222423871974
70,5520,52,0xFae730760F3c308fe2694823b348DE66eF63CA29,0.0026054511513309278,52.10902302661856
71,5460,54,0x00779b79BB1Ec71CE36340c1128687C61cFb0feb,0.002577131030120809,51.54262060241618
72,5460,49,0x227FD2fD881Cc6c99DFCcc0FB40f2B1dc2f3F36E,0.002577131030120809,51.54262060241618
73,5445,93,0xC34DeaE8cB276192AEB7007E50b0631854F409F8,0.0025700509998182793,51.401019996365584
74,5410,51,0x76e83d71618509368ec3d34008fcea83af037d87,0.0025535309291123765,51.070618582247526
75,5370,54,0x406ceeeFa0261873013b4CdAaF2E8255b67B62a2,0.002534650848305631,50.693016966112616
76,5370,49,0x56fa16f75C47428C80237dbe5b26767AD67aAb0A,0.002534650848305631,50.693016966112616
77,5350,50,0xD75A0E583A72a8f5066F2fdBf96486E92878E430,0.0025252108079022576,50.50421615804515
78,5350,34,0x69155E7cA2E688ccDc247f6c4DDF374b3ae77Bd6,0.0025252108079022576,50.50421615804515
79,5320,49,0x6Dd9D1e0acE2bc5802e13D1BCCA2016C8161f219,0.0025110507472971984,50.22101494594397
80,5260,42,0xBb35bf108d80C3daE2607E562dAFFcfa274E4c61,0.0024827306260870796,49.65461252174159
81,5260,51,0x1935fe0cef54ebddc83d969f550f85d7cb29e816,0.0024827306260870796,49.65461252174159
82,5220,94,0x201f5eabba4d62e692356c7c76648799ae0f7fd8,0.002463850545280334,49.27701090560668
83,5200,39,0x13691b36ead3881f46d77a6d6caef0ecf80759a8,0.0024544105048769607,49.08821009753922
84,5170,49,0x5aE98f92049666c62BBcb55b085737e036609388,0.0024402504442719015,48.80500888543803
85,5160,51,0x8Cd325a95055E0A7676B46aF0A0809612F5A04c2,0.002435530424070215,48.7106084814043
86,5160,47,0x97B99fF519DC6AcEDce32bbc28a22afE27fBDD05,0.002435530424070215,48.7106084814043
